,X,Y,R,Theta,Thickness
103,-58.25,-18.93,61.25,198.0,0.6581928167781463
104,-54.57,-27.81,61.25,207.0,0.6394077002871127
105,-49.55,-36.0,61.25,216.0,0.6602944573418362
106,-43.31,-43.31,61.25,225.0,0.6584228347204693
107,-36.0,-49.55,61.25,234.0,0.6516197563922493
108,-27.81,-54.57,61.25,243.0,0.658383141183267
109,-18.93,-58.25,61.25,252.0,0.6532834479871893
110,-9.58,-60.5,61.25,261.0,0.6513651609486543
111,-0.0,-61.25,61.25,270.0,0.652093575114831
112,9.58,-60.5,61.25,279.0,0.6421658227312317
113,18.93,-58.25,61.25,288.0,0.6458021965155357
114,27.81,-54.57,61.25,297.0,0.654029669509803
115,36.0,-49.55,61.25,306.0,0.6416067534807857
116,43.31,-43.31,61.25,315.0,0.6559817778638042
117,49.55,-36.0,61.25,324.0,0.64525416145383
118,54.57,-27.81,61.25,333.0,0.6503941301591415
119,58.25,-18.93,61.25,342.0,0.646200516219533
120,60.5,-9.58,61.25,351.0,0.6481684833062179
121,73.5,0.0,73.5,0.0,0.8350374561095022
122,72.87,9.59,73.5,7.5,0.8513288058048115
123,71.0,19.02,73.5,15.0,0.8390115330945764
124,67.91,28.13,73.5,22.5,0.8358964458698057
125,63.65,36.75,73.5,30.0,0.8430590015129861
126,58.31,44.74,73.5,37.5,0.8584769767146891
127,51.97,51.97,73.5,45.0,0.9330600976627066
128,44.74,58.31,73.5,52.5,0.8478586836881661
129,36.75,63.65,73.5,60.0,0.8387992454037347
130,28.13,67.91,73.5,67.5,0.837091381374395
131,19.02,71.0,73.5,75.0,0.8556812452757714
132,9.59,72.87,73.5,82.5,0.8455133000027781
133,0.0,73.5,73.5,90.0,0.8526862252334982
134,-9.59,72.87,73.5,97.5,0.8427862065039804
135,-19.02,71.0,73.5,105.0,0.8434881204213619
136,-28.13,67.91,73.5,112.5,0.8454410608889049
137,-36.75,63.65,73.5,120.0,0.846847144101944
138,-44.74,58.31,73.5,127.5,0.8470102733192468
139,-51.97,51.97,73.5,135.0,0.922996936153928
140,-58.31,44.74,73.5,142.5,0.8403340043249543
141,-63.65,36.75,73.5,150.0,0.8424724148101873
142,-67.91,28.13,73.5,157.5,0.8406900052305399
143,-71.0,19.02,73.5,165.0,0.8488414033021318
144,-72.87,9.59,73.5,172.5,0.836735732379235
145,-73.5,0.0,73.5,180.0,0.8454741697035855
146,-72.87,-9.59,73.5,187.5,0.846727176273559
147,-71.0,-19.02,73.5,195.0,0.8394638412317045
148,-67.91,-28.13,73.5,202.5,0.9200800555771416
149,-63.65,-36.75,73.5,210.0,0.9092870609635126
150,-58.31,-44.74,73.5,217.5,0.9125620655577094
151,-51.97,-51.97,73.5,225.0,0.916057701284688
152,-44.74,-58.31,73.5,232.5,0.8926250115983014
153,-36.75,-63.65,73.5,240.0,0.8960236515209896
154,-28.13,-67.91,73.5,247.5,0.9141920384291697
155,-19.02,-71.0,73.5,255.0,0.9176666926544197
156,-9.59,-72.87,73.5,262.5,0.9195308952464769
157,-0.0,-73.5,73.5,270.0,0.9086285920955188
158,9.59,-72.87,73.5,277.5,0.8921310385684806
159,19.02,-71.0,73.5,285.0,0.909874689072415
160,28.13,-67.91,73.5,292.5,0.9162337764879511
161,36.75,-63.65,73.5,300.0,0.9021095361432228
162,44.74,-58.31,73.5,307.5,0.9029332367269989
163,51.97,-51.97,73.5,315.0,0.9142099525887908
164,58.31,-44.74,73.5,322.5,0.9155526606283191
165,63.65,-36.75,73.5,330.0,0.9074624319090907
166,67.91,-28.13,73.5,337.5,0.9152159514816691
167,71.0,-19.02,73.5,345.0,0.8542040665745052
168,72.87,-9.59,73.5,352.5,0.8405832452295456
169,85.75,0.0,85.75,0.0,0.9740918692727909
170,85.21,9.6,85.75,6.43,0.9913117801851283
171,83.6,19.08,85.75,12.86,0.9682601037247445
172,80.94,28.32,85.75,19.29,0.9664485164339627
173,77.26,37.21,85.75,25.71,0.9770144229969734
174,72.61,45.62,85.75,32.14,0.9683553072455442
175,67.04,53.46,85.75,38.57,0.9928736965376636
176,60.63,60.63,85.75,45.0,0.9769322145137722
177,53.46,67.04,85.75,51.43,0.9774613220683155
178,45.62,72.61,85.75,57.86,0.9753105217286335
179,37.21,77.26,85.75,64.29,0.9810992191585854
180,28.32,80.94,85.75,70.71,0.9722922847092895
181,19.08,83.6,85.75,77.14,0.9664604969069525
182,9.6,85.21,85.75,83.57,0.971410458888471
183,0.0,85.75,85.75,90.0,0.9861795732888712
184,-9.6,85.21,85.75,96.43,0.9897340396196265
185,-19.08,83.6,85.75,102.86,0.9862432587309483
186,-28.32,80.94,85.75,109.29,0.9938066910844847
187,-37.21,77.26,85.75,115.71,0.9839674862030161
188,-45.62,72.61,85.75,122.14,0.9959814591791044
189,-53.46,67.04,85.75,128.57,0.9673651744259385
190,-60.63,60.63,85.75,135.0,0.9720219813653947
191,-67.04,53.46,85.75,141.43,0.9777787640911918
192,-72.61,45.62,85.75,147.86,0.9749550206298905
193,-77.26,37.21,85.75,154.29,0.994484127468194
194,-80.94,28.32,85.75,160.71,0.989365463240455
195,-83.6,19.08,85.75,167.14,0.9958961431755664
196,-85.21,9.6,85.75,173.57,0.9819020306813353
197,-85.75,0.0,85.75,180.0,0.9947039532821786
198,-85.21,-9.6,85.75,186.43,0.9776701522620075
199,-83.6,-19.08,85.75,192.86,0.9702975759472637
200,-80.94,-28.32,85.75,199.29,0.9719617415281631
201,-77.26,-37.21,85.75,205.71,0.9868278187740274
202,-72.61,-45.62,85.75,212.14,0.9674137145055096
203,-67.04,-53.46,85.75,218.57,0.9757203385155953
204,-60.63,-60.63,85.75,225.0,0.986530625165179
205,-53.46,-67.04,85.75,231.43,0.9704950262734795
206,-45.62,-72.61,85.75,237.86,0.9806867678920914
207,-37.21,-77.26,85.75,244.29,0.9879893590040072
208,-28.32,-80.94,85.75,250.71,0.9686959258852986
209,-19.08,-83.6,85.75,257.14,0.9685777974093686
210,-9.6,-85.21,85.75,263.57,0.9671559649854065
211,-0.0,-85.75,85.75,270.0,0.9838735853992971
212,9.6,-85.21,85.75,276.43,0.9829074031449708
213,19.08,-83.6,85.75,282.86,0.9903117653578899
214,28.32,-80.94,85.75,289.29,0.9937527644516305
215,37.21,-77.26,85.75,295.71,0.9706996170111385
216,45.62,-72.61,85.75,302.14,0.9755459756046685
217,53.46,-67.04,85.75,308.57,0.988939780065182
218,60.63,-60.63,85.75,315.0,0.9718298908915113
219,67.04,-53.46,85.75,321.43,0.9760924210626338
220,72.61,-45.62,85.75,327.86,0.990489166076295
221,77.26,-37.21,85.75,334.29,0.9942873136661337
222,80.94,-28.32,85.75,340.71,0.989303378701567
223,83.6,-19.08,85.75,347.14,0.9756577851226362
224,85.21,-9.6,85.75,353.57,0.9927018357936308
225,98.0,0.0,98.0,0.0,1.0289677489305973
226,97.53,9.61,98.0,5.62,1.0080939680678473
227,96.12,19.12,98.0,11.25,1.0151435542017635
228,93.78,28.45,98.0,16.88,1.0185742674728797
229,90.54,37.5,98.0,22.5,1.0237961689655783
230,86.43,46.2,98.0,28.12,1.0049655289265138
231,81.48,54.45,98.0,33.75,1.0299210141037431
232,75.76,62.17,98.0,39.38,1.0159637273207818
233,69.3,69.3,98.0,45.0,1.0214781839756562
234,62.17,75.76,98.0,50.62,1.015871977495499
235,54.45,81.48,98.0,56.25,1.0123354860962426
236,46.2,86.43,98.0,61.88,1.0146622581087534
237,37.5,90.54,98.0,67.5,1.002026155906939
238,28.45,93.78,98.0,73.12,1.0207072822999
239,19.12,96.12,98.0,78.75,1.0134993733334898
240,9.61,97.53,98.0,84.38,1.0251066984255721
241,0.0,98.0,98.0,90.0,1.0150237564381488
242,-9.61,97.53,98.0,95.62,1.0172892615801739
243,-19.12,96.12,98.0,101.25,1.0290305250132883
244,-28.45,93.78,98.0,106.88,1.0006227621360015
245,-37.5,90.54,98.0,112.5,1.0095922145258645
246,-46.2,86.43,98.0,118.12,1.019155314775067
247,-54.45,81.48,98.0,123.75,1.0242147949884723
248,-62.17,75.76,98.0,129.38,1.003560198539375
249,-69.3,69.3,98.0,135.0,1.0077736073768526
250,-75.76,62.17,98.0,140.62,1.0213622571731746
251,-81.48,54.45,98.0,146.25,1.0250427410775247
252,-86.43,46.2,98.0,151.88,1.0131540441737044
253,-90.54,37.5,98.0,157.5,1.016045330436316
254,-93.78,28.45,98.0,163.12,1.0028352137963508
255,-96.12,19.12,98.0,168.75,1.009840907845665
256,-97.53,9.61,98.0,174.38,1.0138252205448701
257,-98.0,0.0,98.0,180.0,1.0240389087115973
258,-97.53,-9.61,98.0,185.62,1.0063801373304546
259,-96.12,-19.12,98.0,191.25,1.0047552263547328
260,-93.78,-28.45,98.0,196.88,1.015819993560844
261,-90.54,-37.5,98.0,202.5,1.0006434342423574
262,-86.43,-46.2,98.0,208.12,1.0202523293086476
263,-81.48,-54.45,98.0,213.75,1.0210732191054117
264,-75.76,-62.17,98.0,219.38,1.0186376247978775
265,-69.3,-69.3,98.0,225.0,1.0163863333338257
266,-62.17,-75.76,98.0,230.62,1.0290456202774725
267,-54.45,-81.48,98.0,236.25,1.015428117473675
268,-46.2,-86.43,98.0,241.88,1.008482290009547
269,-37.5,-90.54,98.0,247.5,1.0115428289238897
270,-28.45,-93.78,98.0,253.12,1.0169474387305633
271,-19.12,-96.12,98.0,258.75,1.0087261434879986
272,-9.61,-97.53,98.0,264.38,1.0265409037604256
273,-0.0,-98.0,98.0,270.0,1.0034952301704227
274,9.61,-97.53,98.0,275.62,1.0125582442370153
275,19.12,-96.12,98.0,281.25,1.0103825968553535
276,28.45,-93.78,98.0,286.88,1.028814889424003
277,37.5,-90.54,98.0,292.5,1.0171211641642415
278,46.2,-86.43,98.0,298.12,1.027032625859981
279,54.45,-81.48,98.0,303.75,1.0042314250463946
280,62.17,-75.76,98.0,309.38,1.0181484225433302
281,69.3,-69.3,98.0,315.0,1.010512947536556
282,75.76,-62.17,98.0,320.63,1.0267307387123115
283,81.48,-54.45,98.0,326.25,1.011350448925854
284,86.43,-46.2,98.0,331.88,1.0152671038388106
285,90.54,-37.5,98.0,337.5,1.0107673079391823
286,93.78,-28.45,98.0,343.12,1.0217894955288094
287,96.12,-19.12,98.0,348.75,1.0223621958365547
288,97.53,-9.61,98.0,354.38,1.0126734177235
289,110.25,0.0,110.25,0.0,0.9357895988638535
290,109.83,9.61,110.25,5.0,0.9452572318506933
291,108.58,19.14,110.25,10.0,0.9233231394107091
292,106.49,28.53,110.25,15.0,0.9235794324006168
293,103.6,37.71,110.25,20.0,0.9391725935788879
294,99.92,46.59,110.25,25.0,0.9253628557681115
295,95.48,55.12,110.25,30.0,0.9505382412408545
296,90.31,63.24,110.25,35.0,0.923988306692168
297,84.46,70.87,110.25,40.0,0.9254964479864783
298,77.96,77.96,110.25,45.0,0.9444901278648721
299,70.87,84.46,110.25,50.0,0.947924917540916
300,63.24,90.31,110.25,55.0,0.9394714944393296
301,55.13,95.48,110.25,60.0,0.9339340052459162
302,46.59,99.92,110.25,65.0,0.9467863457491672
303,37.71,103.6,110.25,70.0,0.9226197105670307
304,28.53,106.49,110.25,75.0,0.928237843157376
305,19.14,108.58,110.25,80.0,0.9309952265429712
306,9.61,109.83,110.25,85.0,0.9461419832462127
307,0.0,110.25,110.25,90.0,0.9271698924159189
308,-9.61,109.83,110.25,95.0,0.948748890654501
309,-19.14,108.58,110.25,100.0,0.9519098835674253
310,-28.53,106.49,110.25,105.0,0.9432801535159564
311,-37.71,103.6,110.25,110.0,0.9441591176883308
312,-46.59,99.92,110.25,115.0,0.9499704584038015
313,-55.12,95.48,110.25,120.0,0.9364332688818258
314,-63.24,90.31,110.25,125.0,0.9351265561374692
315,-70.87,84.46,110.25,130.0,0.9366401155016966
316,-77.96,77.96,110.25,135.0,0.9282724268694045
317,-84.46,70.87,110.25,140.0,0.9519249588239252
318,-90.31,63.24,110.25,145.0,0.9403632474414384
319,-95.48,55.12,110.25,150.0,0.9302662810234061
320,-99.92,46.59,110.25,155.0,0.9445824639684987
321,-103.6,37.71,110.25,160.0,0.9328432133675748
322,-106.49,28.53,110.25,165.0,0.9361279233472318
323,-108.58,19.14,110.25,170.0,0.9266997014900241
324,-109.83,9.61,110.25,175.0,0.9427338518519633
325,-110.25,0.0,110.25,180.0,0.9387182440581969
326,-109.83,-9.61,110.25,185.0,0.9477548608577554
327,-108.58,-19.14,110.25,190.0,0.9512716161278825
328,-106.49,-28.53,110.25,195.0,0.9510267489515655
329,-103.6,-37.71,110.25,200.0,0.9478400107255169
330,-99.92,-46.59,110.25,205.0,0.9416016493598328
331,-95.48,-55.13,110.25,210.0,0.9241446374182236
332,-90.31,-63.24,110.25,215.0,0.9295628574388144
333,-84.46,-70.87,110.25,220.0,0.9493092484049055
334,-77.96,-77.96,110.25,225.0,0.931667382482949
335,-70.87,-84.46,110.25,230.0,0.9464376372314763
336,-63.24,-90.31,110.25,235.0,0.9406068607734236
337,-55.13,-95.48,110.25,240.0,0.9451516638392705
338,-46.59,-99.92,110.25,245.0,0.9306375399605514
339,-37.71,-103.6,110.25,250.0,0.9392607323228097
340,-28.53,-106.49,110.25,255.0,0.9230603617028993
341,-19.14,-108.58,110.25,260.0,0.9460411967567024
342,-9.61,-109.83,110.25,265.0,0.9320200798984386
343,-0.0,-110.25,110.25,270.0,0.9508691414936612
344,9.61,-109.83,110.25,275.0,0.9442229335772859
345,19.14,-108.58,110.25,280.0,0.931874370029043
346,28.53,-106.49,110.25,285.0,0.9457731673759963
347,37.71,-103.6,110.25,290.0,0.9352316169404313
348,46.59,-99.92,110.25,295.0,0.9250271645936983
349,55.13,-95.48,110.25,300.0,0.9323445668348753
350,63.24,-90.31,110.25,305.0,0.9285976548652707
351,70.87,-84.46,110.25,310.0,0.9245377772102527
352,77.96,-77.96,110.25,315.0,0.9417368925596399
353,84.46,-70.87,110.25,320.0,0.9259041298705663
354,90.31,-63.24,110.25,325.0,0.9276447077293845
355,95.48,-55.13,110.25,330.0,0.9361182662047935
356,99.92,-46.59,110.25,335.0,0.9294988124319566
357,103.6,-37.71,110.25,340.0,0.9449507288397909
358,106.49,-28.53,110.25,345.0,0.9256986532215593
359,108.58,-19.14,110.25,350.0,0.929606663399808
360,109.83,-9.61,110.25,355.0,0.9234995039199967
361,122.5,0.0,122.5,0.0,0.7846726987965303
362,122.12,9.61,122.5,4.5,0.7638101796917496
363,120.99,19.16,122.5,9.0,0.7738295544965897
364,119.12,28.6,122.5,13.5,0.7659323252243918
365,116.5,37.85,122.5,18.0,0.7869811573517165
366,113.18,46.88,122.5,22.5,0.7582056552894685
367,109.15,55.61,122.5,27.0,0.7836786888685714
368,104.45,64.01,122.5,31.5,0.7732479564183731
369,99.1,72.0,122.5,36.0,0.7849834588160937
370,93.15,79.56,122.5,40.5,0.7862403827662724
371,86.62,86.62,122.5,45.0,0.7703762802577685
372,79.56,93.15,122.5,49.5,0.774543642489077
373,72.0,99.1,122.5,54.0,0.7624652674010448
374,64.01,104.45,122.5,58.5,0.765470328502625
375,55.61,109.15,122.5,63.0,0.7724950834197358
376,46.88,113.18,122.5,67.5,0.7668783381564432
377,37.85,116.5,122.5,72.0,0.7657956511459846
378,28.6,119.12,122.5,76.5,0.778743202375091
379,19.16,120.99,122.5,81.0,0.7837286713952195
380,9.61,122.12,122.5,85.5,0.7864504164926384
381,0.0,122.5,122.5,90.0,0.7578278341142783
382,-9.61,122.12,122.5,94.5,0.7648362791001516
383,-19.16,120.99,122.5,99.0,0.7639156466811123
384,-28.6,119.12,122.5,103.5,0.773434625330699
385,-37.85,116.5,122.5,108.0,0.7724408684625015
386,-46.88,113.18,122.5,112.5,0.7622596425955519
387,-55.61,109.15,122.5,117.0,0.777253569196253
388,-64.01,104.45,122.5,121.5,0.7856242046465277
389,-72.0,99.1,122.5,126.0,0.7670258609143273
390,-79.56,93.15,122.5,130.5,0.7583315214372895
391,-86.62,86.62,122.5,135.0,0.7672768817024435
392,-93.15,79.56,122.5,139.5,0.7732847689116843
393,-99.1,72.0,122.5,144.0,0.7773413831164773
394,-104.45,64.01,122.5,148.5,0.7771566270249858
395,-109.15,55.61,122.5,153.0,0.7616318942656986
396,-113.18,46.88,122.5,157.5,0.7814268279127549
397,-116.5,37.85,122.5,162.0,0.7730393491914798
398,-119.12,28.6,122.5,166.5,0.765038627504127
399,-120.99,19.16,122.5,171.0,0.7763840007681745
400,-122.12,9.61,122.5,175.5,0.7863533283563312
401,-122.5,0.0,122.5,180.0,0.771855738259005
402,-122.12,-9.61,122.5,184.5,0.7761571893699097
403,-120.99,-19.16,122.5,189.0,0.7698996887352797
404,-119.12,-28.6,122.5,193.5,0.7823887300517869
405,-116.5,-37.85,122.5,198.0,0.775654533789515
406,-113.18,-46.88,122.5,202.5,0.7803458032880833
407,-109.15,-55.61,122.5,207.0,0.7745238255202044
408,-104.45,-64.01,122.5,211.5,0.7686071450899044
409,-99.1,-72.0,122.5,216.0,0.7874433285290435
410,-93.15,-79.56,122.5,220.5,0.78739930557486
411,-86.62,-86.62,122.5,225.0,0.7612252867644806
412,-79.56,-93.15,122.5,229.5,0.7727496272506703
413,-72.0,-99.1,122.5,234.0,0.7691863046959827
414,-64.01,-104.45,122.5,238.5,0.7825238950862597
415,-55.61,-109.15,122.5,243.0,0.7782434493100334
416,-46.88,-113.18,122.5,247.5,0.7760804665627519
417,-37.85,-116.5,122.5,252.0,0.7745061244917032
418,-28.6,-119.12,122.5,256.5,0.7785187069722476
419,-19.16,-120.99,122.5,261.0,0.7659502326401706
420,-9.61,-122.12,122.5,265.5,0.7674379471714381
421,-0.0,-122.5,122.5,270.0,0.7811949080669292
422,9.61,-122.12,122.5,274.5,0.7689061190891922
423,19.16,-120.99,122.5,279.0,0.7828734091589047
424,28.6,-119.12,122.5,283.5,0.7671389769837179
425,37.85,-116.5,122.5,288.0,0.7767682558811343
426,46.88,-113.18,122.5,292.5,0.7638670081247245
427,55.61,-109.15,122.5,297.0,0.7582100951837614
428,64.01,-104.45,122.5,301.5,0.7615958963964886
429,72.0,-99.1,122.5,306.0,0.7857405124571232
430,79.56,-93.15,122.5,310.5,0.7602645606241418
431,86.62,-86.62,122.5,315.0,0.7631002890764564
432,93.15,-79.56,122.5,319.5,0.7613385250342817
433,99.1,-72.0,122.5,324.0,0.7580999505398969
434,104.45,-64.01,122.5,328.5,0.7814965810090894
435,109.15,-55.61,122.5,333.0,0.7708291199238102
436,113.18,-46.88,122.5,337.5,0.7687050592174691
437,116.5,-37.85,122.5,342.0,0.7606887375229618
438,119.12,-28.6,122.5,346.5,0.7836967539781687
439,120.99,-19.16,122.5,351.0,0.7697125007043634
440,122.12,-9.61,122.5,355.5,0.7662113953927386
441,134.75,0.0,134.75,0.0,0.5774730803794879
442,134.41,9.61,134.75,4.09,0.5763176378190821
443,133.38,19.18,134.75,8.18,0.5726725554912623
444,131.67,28.64,134.75,12.27,0.5610740338738067
445,129.29,37.96,134.75,16.36,0.572376031745393
446,126.25,47.09,134.75,20.45,0.5812746899183621
447,122.57,55.98,134.75,24.55,0.5570894343245929
448,118.27,64.58,134.75,28.64,0.5734641695774768
449,113.36,72.85,134.75,32.73,0.5627890567815702
450,107.87,80.75,134.75,36.82,0.574310100052414
451,101.84,88.24,134.75,40.91,0.5531878185130614
452,95.28,95.28,134.75,45.0,0.5757339184116789
453,88.24,101.84,134.75,49.09,0.569727554722997
454,80.75,107.87,134.75,53.18,0.5750659534450183
455,72.85,113.36,134.75,57.27,0.5614918330444125
456,64.58,118.27,134.75,61.36,0.5564009821982835
457,55.98,122.57,134.75,65.45,0.5561788504836922
458,47.09,126.25,134.75,69.55,0.5725306959856356
459,37.96,129.29,134.75,73.64,0.5528747795636001
460,28.64,131.67,134.75,77.73,0.5727455700011643
461,19.18,133.38,134.75,81.82,0.5816755420714664
462,9.61,134.41,134.75,85.91,0.5600489413645738
463,0.0,134.75,134.75,90.0,0.5737395667939152
464,-9.61,134.41,134.75,94.09,0.5714532403347452
465,-19.18,133.38,134.75,98.18,0.5762536225796107
466,-28.64,131.67,134.75,102.27,0.5706139570254782
467,-37.96,129.29,134.75,106.36,0.5558251182681125
468,-47.09,126.25,134.75,110.45,0.5673008880027111
469,-55.98,122.57,134.75,114.55,0.5741615566396532
470,-64.58,118.27,134.75,118.64,0.5612368280040745
471,-72.85,113.36,134.75,122.73,0.56860852766005
472,-80.75,107.87,134.75,126.82,0.5667684432545989
473,-88.24,101.84,134.75,130.91,0.5771526772841945
474,-95.28,95.28,134.75,135.0,0.5776282918365501
475,-101.84,88.24,134.75,139.09,0.5574891593033908
476,-107.87,80.75,134.75,143.18,0.5802103335900751
477,-113.36,72.85,134.75,147.27,0.5590570569449338
478,-118.27,64.58,134.75,151.36,0.5571988905019415
479,-122.57,55.98,134.75,155.45,0.5744285545264034
480,-126.25,47.09,134.75,159.55,0.5530647411897851
481,-129.29,37.96,134.75,163.64,0.5607684148350013
482,-131.67,28.64,134.75,167.73,0.5729742066179117
483,-133.38,19.18,134.75,171.82,0.5810255716753099
484,-134.41,9.61,134.75,175.91,0.5524206709824576
485,-134.75,0.0,134.75,180.0,0.5682729189868345
486,-134.41,-9.61,134.75,184.09,0.5674548354706715
487,-133.38,-19.18,134.75,188.18,0.5797176780582163
488,-131.67,-28.64,134.75,192.27,0.5627925062605462
489,-129.29,-37.96,134.75,196.36,0.5777226004128684
490,-126.25,-47.09,134.75,200.45,0.5546669676413644
491,-122.57,-55.98,134.75,204.55,0.5610213814577228
492,-118.27,-64.58,134.75,208.64,0.5526296002799895
493,-113.36,-72.85,134.75,212.73,0.5594597701330066
494,-107.87,-80.75,134.75,216.82,0.5682308521603611
495,-101.84,-88.24,134.75,220.91,0.5717220056792045
496,-95.28,-95.28,134.75,225.0,0.5675145616154352
497,-88.24,-101.84,134.75,229.09,0.5766058198230232
498,-80.75,-107.87,134.75,233.18,0.5643720041951075
499,-72.85,-113.36,134.75,237.27,0.5791657632543297
500,-64.58,-118.27,134.75,241.36,0.5791274684102875
